,solar_result,3시간기온,강수형태,강수확률,습도,풍속,풍향,하늘상태,altitude,azimuth,altitude_m,azimuth_m
2017060813,138.0,26.0,0.0,16.666666666666668,50.0,4.133333333333334,240.0,2.6666666666666665,68.77333333333334,191.09,71.02121317232519,227.6162072733744
2017060814,122.16,26.0,0.0,13.333333333333332,50.0,4.566666666666666,238.0,2.3333333333333335,61.11666666666667,225.82,60.48733590219946,250.39962157960036
2017060815,104.88,26.0,0.0,10.0,50.0,5.0,236.0,2.0,53.46,260.55,48.617683652171316,263.10269852415803
2017060816,72.48,25.0,0.0,6.666666666666666,55.0,5.033333333333333,237.0,1.6666666666666667,41.38333333333333,269.0566666666667,36.44259597031463,267.68395530471327
2017060817,36.72,24.0,0.0,3.333333333333333,60.0,5.066666666666666,238.0,1.3333333333333335,29.306666666666665,277.56333333333333,24.33079816444587,259.7066274295513
2017060818,9.12,23.0,0.0,0.0,65.0,5.1,239.0,1.0,17.23,286.07,12.514125266014089,288.0605035959304
2017060819,1.44,22.333333333333332,0.0,0.0,65.0,5.033333333333333,244.0,1.0,11.486666666666668,190.7133333333333,1.2237238608253693,296.2695676006066
2017060820,0.0,21.666666666666668,0.0,0.0,65.0,4.966666666666667,249.0,1.0,5.743333333333334,95.35666666666665,-9.245005080701288,305.4745213509775
2017060821,0.0,21.0,0.0,0.0,65.0,4.9,254.0,1.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060822,0.0,20.666666666666668,0.0,0.0,65.0,4.9,255.66666666666666,1.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060823,0.0,20.333333333333332,0.0,0.0,65.0,4.9,257.3333333333333,1.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060900,0.0,20.0,0.0,0.0,65.0,4.9,259.0,1.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060901,0.0,20.166666666666668,0.0,1.6666666666666667,65.83333333333333,4.683333333333334,262.1666666666667,1.1666666666666667,0.0,0.0,-30.815716154454883,16.24294328550779
2017060902,0.0,20.333333333333332,0.0,3.3333333333333335,66.66666666666667,4.466666666666667,265.3333333333333,1.3333333333333333,0.0,0.0,-25.905379269347986,31.058427642127043
2017060903,0.0,20.5,0.0,5.0,67.5,4.25,268.5,1.5,0.0,0.0,-18.47884846644029,43.7865516488749
