 format: day,hour,forecast,value  location:97_74 Start : 20180201 
 5,1400,+4,288.000000 
 5,1400,+7,289.000000 
 5,1400,+10,290.000000 
 5,1400,+13,286.000000 
 5,1400,+16,288.000000 
 5,1400,+19,286.000000 
 5,1400,+22,288.000000 
 5,1400,+25,291.000000 
 5,1400,+28,288.000000 
 5,1400,+31,293.000000 
 5,1400,+34,294.000000 
 5,1400,+37,293.000000 
 5,1400,+40,293.000000 
 5,1400,+43,295.000000 
 5,1400,+46,286.000000 
 5,1400,+49,270.000000 
 5,1700,+4,289.000000 
 5,1700,+7,290.000000 
 5,1700,+10,286.000000 
 5,1700,+13,288.000000 
 5,1700,+16,286.000000 
 5,1700,+19,288.000000 
 5,1700,+22,291.000000 
 5,1700,+25,288.000000 
 5,1700,+28,293.000000 
 5,1700,+31,294.000000 
 5,1700,+34,293.000000 
 5,1700,+37,293.000000 
 5,1700,+40,295.000000 
 5,1700,+43,286.000000 
 5,1700,+46,270.000000 
 5,2000,+4,286.000000 
 5,2000,+7,284.000000 
 5,2000,+10,290.000000 
 5,2000,+13,290.000000 
 5,2000,+16,293.000000 
 5,2000,+19,287.000000 
 5,2000,+22,287.000000 
 5,2000,+25,292.000000 
 5,2000,+28,296.000000 
 5,2000,+31,295.000000 
 5,2000,+34,292.000000 
 5,2000,+37,289.000000 
 5,2000,+40,292.000000 
 5,2000,+43,262.000000 
 5,2000,+46,278.000000 
 5,2000,+49,356.000000 
 5,2000,+52,339.000000 
 5,2000,+55,97.000000 
 5,2000,+58,131.000000 
 5,2000,+61,114.000000 
 5,2000,+64,58.000000 
 5,2000,+67,72.000000 
 5,2300,+4,284.000000 
 5,2300,+7,290.000000 
 5,2300,+10,290.000000 
 5,2300,+13,293.000000 
 5,2300,+16,287.000000 
 5,2300,+19,287.000000 
 5,2300,+22,292.000000 
 5,2300,+25,296.000000 
 5,2300,+28,295.000000 
 5,2300,+31,292.000000 
 5,2300,+34,289.000000 
 5,2300,+37,292.000000 
 5,2300,+40,262.000000 
 5,2300,+43,278.000000 
 5,2300,+46,356.000000 
 5,2300,+49,339.000000 
 5,2300,+52,97.000000 
 5,2300,+55,131.000000 
 5,2300,+58,114.000000 
 5,2300,+61,58.000000 
 5,2300,+64,72.000000 
 6,0200,+4,290.000000 
 6,0200,+7,290.000000 
 6,0200,+10,293.000000 
 6,0200,+13,287.000000 
 6,0200,+16,287.000000 
 6,0200,+19,292.000000 
 6,0200,+22,296.000000 
 6,0200,+25,295.000000 
 6,0200,+28,292.000000 
 6,0200,+31,289.000000 
 6,0200,+34,292.000000 
 6,0200,+37,262.000000 
 6,0200,+40,278.000000 
 6,0200,+43,356.000000 
 6,0200,+46,339.000000 
 6,0200,+49,97.000000 
 6,0200,+52,131.000000 
 6,0200,+55,114.000000 
 6,0200,+58,58.000000 
 6,0200,+61,72.000000 
 6,0500,+4,290.000000 
 6,0500,+7,293.000000 
 6,0500,+10,287.000000 
 6,0500,+13,287.000000 
 6,0500,+16,292.000000 
 6,0500,+19,296.000000 
 6,0500,+22,295.000000 
 6,0500,+25,292.000000 
 6,0500,+28,289.000000 
 6,0500,+31,292.000000 
 6,0500,+34,262.000000 
 6,0500,+37,278.000000 
 6,0500,+40,356.000000 
 6,0500,+43,339.000000 
 6,0500,+46,97.000000 
 6,0500,+49,131.000000 
 6,0500,+52,114.000000 
 6,0500,+55,58.000000 
 6,0500,+58,72.000000 
 6,0800,+4,293.000000 
 6,0800,+7,287.000000 
 6,0800,+10,287.000000 
 6,0800,+13,292.000000 
 6,0800,+16,296.000000 
 6,0800,+19,295.000000 
 6,0800,+22,292.000000 
 6,0800,+25,289.000000 
 6,0800,+28,292.000000 
 6,0800,+31,262.000000 
 6,0800,+34,278.000000 
 6,0800,+37,356.000000 
 6,0800,+40,339.000000 
 6,0800,+43,97.000000 
 6,0800,+46,131.000000 
 6,0800,+49,114.000000 
 6,0800,+52,58.000000 
 6,0800,+55,72.000000 
 6,1100,+4,287.000000 
 6,1100,+7,287.000000 
 6,1100,+10,292.000000 
 6,1100,+13,296.000000 
 6,1100,+16,295.000000 
 6,1100,+19,292.000000 
 6,1100,+22,289.000000 
 6,1100,+25,292.000000 
 6,1100,+28,262.000000 
 6,1100,+31,278.000000 
 6,1100,+34,356.000000 
 6,1100,+37,339.000000 
 6,1100,+40,97.000000 
 6,1100,+43,131.000000 
 6,1100,+46,114.000000 
 6,1100,+49,58.000000 
 6,1100,+52,72.000000 
 6,1400,+4,287.000000 
 6,1400,+7,292.000000 
 6,1400,+10,296.000000 
 6,1400,+13,295.000000 
 6,1400,+16,292.000000 
 6,1400,+19,289.000000 
 6,1400,+22,292.000000 
 6,1400,+25,262.000000 
 6,1400,+28,278.000000 
 6,1400,+31,356.000000 
 6,1400,+34,339.000000 
 6,1400,+37,97.000000 
 6,1400,+40,131.000000 
 6,1400,+43,114.000000 
 6,1400,+46,58.000000 
 6,1400,+49,72.000000 
 6,1700,+4,292.000000 
 6,1700,+7,296.000000 
 6,1700,+10,295.000000 
 6,1700,+13,292.000000 
 6,1700,+16,289.000000 
 6,1700,+19,292.000000 
 6,1700,+22,262.000000 
 6,1700,+25,278.000000 
 6,1700,+28,356.000000 
 6,1700,+31,339.000000 
 6,1700,+34,97.000000 
 6,1700,+37,131.000000 
 6,1700,+40,114.000000 
 6,1700,+43,58.000000 
 6,1700,+46,72.000000 
 6,2000,+4,296.000000 
 6,2000,+7,295.000000 
 6,2000,+10,292.000000 
 6,2000,+13,289.000000 
 6,2000,+16,292.000000 
 6,2000,+19,262.000000 
 6,2000,+22,278.000000 
 6,2000,+25,356.000000 
 6,2000,+28,339.000000 
 6,2000,+31,97.000000 
 6,2000,+34,131.000000 
 6,2000,+37,114.000000 
 6,2000,+40,58.000000 
 6,2000,+43,72.000000 
 6,2000,+46,13.000000 
 6,2000,+49,352.000000 
 6,2000,+52,302.000000 
 6,2000,+55,276.000000 
 6,2000,+58,329.000000 
 6,2000,+61,264.000000 
 6,2000,+64,258.000000 
 6,2000,+67,267.000000 
 6,2300,+4,295.000000 
 6,2300,+7,292.000000 
 6,2300,+10,289.000000 
 6,2300,+13,292.000000 
 6,2300,+16,262.000000 
 6,2300,+19,278.000000 
 6,2300,+22,356.000000 
 6,2300,+25,339.000000 
 6,2300,+28,97.000000 
 6,2300,+31,131.000000 
 6,2300,+34,114.000000 
 6,2300,+37,58.000000 
 6,2300,+40,72.000000 
 6,2300,+43,13.000000 
 6,2300,+46,352.000000 
 6,2300,+49,302.000000 
 6,2300,+52,276.000000 
 6,2300,+55,329.000000 
 6,2300,+58,264.000000 
 6,2300,+61,258.000000 
 6,2300,+64,267.000000 
 7,0200,+4,292.000000 
 7,0200,+7,289.000000 
 7,0200,+10,292.000000 
 7,0200,+13,262.000000 
 7,0200,+16,278.000000 
 7,0200,+19,356.000000 
 7,0200,+22,339.000000 
 7,0200,+25,97.000000 
 7,0200,+28,131.000000 
 7,0200,+31,114.000000 
 7,0200,+34,58.000000 
 7,0200,+37,72.000000 
 7,0200,+40,13.000000 
 7,0200,+43,352.000000 
